group,aug,arch,short-exp-name,exp-name,,msmarco,trec-covid,bioasq,nfcorpus,nq,hotpotqa,fiqa,signal1m,trec-news,arguana,webis-touche2020,dbpedia-entity,scidocs,fever,climate-fever,scifact,robust04,quora,cqadupstack,msmarco%,trec-covid%,bioasq%,nfcorpus%,nq%,hotpotqa%,fiqa%,signal1m%,trec-news%,arguana%,webis-touche2020%,dbpedia-entity%,scidocs%,fever%,climate-fever%,scifact%,robust04%,quora%,cqadupstack%,msmarco±,trec-covid±,bioasq±,nfcorpus±,nq±,hotpotqa±,fiqa±,signal1m±,trec-news±,arguana±,webis-touche2020±,dbpedia-entity±,scidocs±,fever±,climate-fever±,scifact±,robust04±,quora±,cqadupstack±
TQGen-ExSum(CC),TQGen-ExSum+RC,MoCo,MoCo-TQGen-Exsum(CC),cc.T03b_exsum50.moco-2e14.contriever256-special50.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.230,0.558,0.000,0.294,0.295,0.544,0.276,0.000,0.000,0.394,0.163,0.318,0.161,0.612,0.164,0.656,0.000,0.790,0.287,0.12,1.03,#DIV/0!,-0.07,0.16,0.13,0.13,#DIV/0!,#DIV/0!,0.04,-0.02,0.09,0.08,-0.10,0.06,0.01,#DIV/0!,-0.05,0.01,0.024,0.284,0.000,-0.023,0.041,0.064,0.032,0.000,0.000,0.014,-0.004,0.027,0.012,-0.070,0.009,0.007,0.000,-0.045,0.003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QGen-D2Q(CC),QGen-D2Q,Inbatch,Inbatch-QGen-D2Q(CC),cc.d2q-t2q.inbatch.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.244,0.559,0.000,0.316,0.355,0.532,0.298,0.000,0.000,0.338,0.165,0.321,0.153,0.623,0.142,0.608,0.000,0.807,0.306,0.19,1.04,#DIV/0!,-0.01,0.40,0.11,0.22,#DIV/0!,#DIV/0!,-0.11,-0.01,0.10,0.03,-0.09,-0.09,-0.06,#DIV/0!,-0.03,0.08,0.039,0.285,0.000,-0.002,0.101,0.052,0.053,0.000,0.000,-0.042,-0.002,0.030,0.004,-0.059,-0.013,-0.042,0.000,-0.028,0.022
QGen-D2Q(CC),QGen-D2Q+RC,MoCo,MoCo-QGen-D2Q(CC),cc.d2q-t2q50.moco-2e14.contriever256-special50.bert-base-uncased.avg.dot.qd128.step100k.bs1024.lr5e5,ndcg@10,0.232,0.634,0.000,0.315,0.325,0.524,0.280,0.000,0.000,0.381,0.205,0.294,0.148,0.551,0.142,0.659,0.000,0.819,0.297,0.13,1.31,#DIV/0!,-0.01,0.28,0.09,0.14,#DIV/0!,#DIV/0!,0.00,0.23,0.01,-0.01,-0.19,-0.08,0.01,#DIV/0!,-0.02,0.05,0.026,0.360,0.000,-0.003,0.071,0.043,0.035,0.000,0.000,0.002,0.039,0.003,-0.001,-0.132,-0.013,0.010,0.000,-0.016,0.013
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doc-Title(Pile6),Doc-Title+RC,MoCo,MoCo-Doc-Title(Pile6),pile6-uniform.moco-2e14.contriever256-Qtitle05.bert-base-uncased.avg.dot.qd128.step100k.bs1024.lr5e5,ndcg@10,0.222,0.577,0.000,0.293,0.317,0.516,0.252,0.000,0.000,0.382,0.211,0.307,0.154,0.564,0.141,0.690,0.000,0.821,0.313,0.08,1.10,#DIV/0!,-0.08,0.25,0.07,0.03,#DIV/0!,#DIV/0!,0.01,0.27,0.05,0.03,-0.17,-0.09,0.06,#DIV/0!,-0.02,0.10,0.016,0.302,0.000,-0.025,0.064,0.035,0.007,0.000,0.000,0.003,0.044,0.015,0.005,-0.118,-0.014,0.040,0.000,-0.014,0.029
Doc-Title(Pile10),Doc-Title+RC,MoCo,MoCo-Doc-Title(Pile10),pile10-uniform.moco-2e14.contriever256-Qtitle05.bert-base-uncased.avg.dot.qd128.step100k.bs1024.lr5e5,ndcg@10,0.214,0.592,0.000,0.301,0.296,0.518,0.245,0.000,0.000,0.374,0.198,0.295,0.158,0.573,0.145,0.706,0.000,0.812,0.310,0.04,1.15,#DIV/0!,-0.05,0.17,0.08,0.00,#DIV/0!,#DIV/0!,-0.01,0.19,0.01,0.06,-0.16,-0.06,0.09,#DIV/0!,-0.03,0.09,0.008,0.317,0.000,-0.017,0.042,0.037,0.000,0.000,0.000,-0.005,0.031,0.003,0.009,-0.109,-0.010,0.056,0.000,-0.023,0.026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hybrid(RC20%+TQGen),Hybrid(CC)+RC,MoCo,MoCo-Hybrid(CC),cc-hybrid.RC20+T0gen80.seed477.moco-2e14.contriever256-special50.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.233,0.580,0.000,0.305,0.284,0.535,0.251,0.000,0.000,0.392,0.178,0.318,0.156,0.621,0.170,0.633,0.000,0.774,0.265,0.13,1.11,#DIV/0!,-0.04,0.12,0.11,0.02,#DIV/0!,#DIV/0!,0.03,0.07,0.09,0.05,-0.09,0.10,-0.02,#DIV/0!,-0.07,-0.07,0.028,0.305,0.000,-0.013,0.030,0.055,0.006,0.000,0.000,0.013,0.011,0.026,0.007,-0.061,0.015,-0.016,0.000,-0.061,-0.019
Hybrid(RC20%+All),Hybrid(CC)+RC,MoCo,MoCo-Hybrid(CC),cc-hybrid.RC20+QExt10+title16+T0gen64.seed477.moco-2e14.contriever256-special50-titles_special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.235,0.585,0.000,0.303,0.289,0.536,0.252,0.000,0.000,0.380,0.196,0.323,0.153,0.614,0.175,0.652,0.000,0.787,0.265,0.14,1.13,#DIV/0!,-0.05,0.14,0.12,0.03,#DIV/0!,#DIV/0!,0.00,0.18,0.11,0.03,-0.10,0.13,0.00,#DIV/0!,-0.06,-0.07,0.029,0.311,0.000,-0.015,0.035,0.055,0.007,0.000,0.000,0.000,0.030,0.032,0.004,-0.068,0.020,0.002,0.000,-0.048,-0.019
